duracion,station_A_id,station_A_name,station_B_id,station_B_name,id_cicla,edad,usuario_tipo,año_nacimiento,genero
6 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),114,Rhode Island St at 17th St,603,52,2,1975,Other
8 minutes,21,Montgomery St BART Station (Market St at 2nd St),49,S Park St at 3rd St,2821,41,2,1984,Female
10 minutes,81,Berry St at 4th St,11,Davis St at Jackson St,5572,46,2,1986,Male
2 minutes,16,Steuart St at Market St,11,Davis St at Jackson St,4981,22,2,1982,Male
14 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),79,7th St at Brannan St,2198,58,2,1960,Male
1 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),67,San Francisco Caltrain Station 2  (Townsend St at 4th St),1814,19,2,1987,Female
4 minutes,21,Montgomery St BART Station (Market St at 2nd St),22,Howard St at Beale St,2614,25,3,1971,Male
15 minutes,30,San Francisco Caltrain (Townsend St at 4th St),11,Davis St at Jackson St,2057,27,3,1967,Male
11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),22,Howard St at Beale St,5465,39,1,1982,Female
11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),88,11th St at Bryant St,3090,61,1,1992,Female
5 minutes,21,Montgomery St BART Station (Market St at 2nd St),36,Folsom St at 3rd St,5484,50,1,1979,Male
5 minutes,5,Powell St BART Station (Market St at 5th St),80,Townsend St at 5th St,4631,60,3,1975,Male
17 minutes,81,Berry St at 4th St,14,Clay St at Battery St,3388,23,1,1977,Female
11 minutes,22,Howard St at Beale St,100,Bryant St at 15th St,5222,58,2,1982,Male
9 minutes,30,San Francisco Caltrain (Townsend St at 4th St),88,11th St at Bryant St,2627,18,2,1988,Male
16 minutes,21,Montgomery St BART Station (Market St at 2nd St),52,McAllister St at Baker St,5548,46,3,1993,Female
10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),58,Market St at 10th St,2566,62,1,1995,Male
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),23,The Embarcadero at Steuart St,5412,21,2,1978,Male
13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),16,Steuart St at Market St,1667,60,3,1970,Female
8 minutes,81,Berry St at 4th St,16,Steuart St at Market St,4409,39,2,1974,Male
13 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),59,S Van Ness Ave at Market St,1140,27,3,1983,Male
12 minutes,30,San Francisco Caltrain (Townsend St at 4th St),9,Broadway at Battery St,4811,50,1,1975,Male
8 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),16,Steuart St at Market St,4981,55,2,1987,Male
9 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),3,Powell St BART Station (Market St at 4th St),5000,18,3,1993,Male
6 minutes,81,Berry St at 4th St,116,Mississippi St at 17th St,5037,51,2,1983,Male
13 minutes,16,Steuart St at Market St,92,Mission Bay Kids Park,4600,16,3,1985,Female
4 minutes,16,Steuart St at Market St,28,The Embarcadero at Bryant St,5294,18,2,1984,Male
11 minutes,81,Berry St at 4th St,13,Commercial St at Montgomery St,5062,36,3,1973,Male
5 minutes,21,Montgomery St BART Station (Market St at 2nd St),66,3rd St at Townsend St,5422,31,2,1993,Male
10 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),66,3rd St at Townsend St,1431,39,3,1954,Male
16 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),77,11th St at Natoma St,59,32,2,1987,Male
4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),89,Division St at Potrero Ave,4320,45,2,1988,Male
8 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),81,Berry St at 4th St,5296,30,1,1978,Male
9 minutes,81,Berry St at 4th St,8,The Embarcadero at Vallejo St,5488,48,3,1988,Male
4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,3642,20,3,1978,Male
4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,4946,44,2,1991,Male
3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),36,Folsom St at 3rd St,5054,55,1,1973,Male
14 minutes,30,San Francisco Caltrain (Townsend St at 4th St),10,Washington St at Kearny St,4797,52,1,1951,Male
11 minutes,30,San Francisco Caltrain (Townsend St at 4th St),19,Post St at Kearny St,1202,34,1,1980,Male
11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),112,Harrison St at 17th St,966,63,2,1974,Male
10 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),16,Steuart St at Market St,4608,30,2,1985,Male
4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),89,Division St at Potrero Ave,5152,25,3,1983,Male
4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,3621,45,3,1983,Male
4 minutes,3,Powell St BART Station (Market St at 4th St),64,5th St at Brannan St,4351,54,1,1985,Male
6 minutes,16,Steuart St at Market St,6,The Embarcadero at Sansome St,5337,31,2,1987,Male
13 minutes,22,Howard St at Beale St,59,S Van Ness Ave at Market St,2723,57,2,1981,Male
5 minutes,16,Steuart St at Market St,27,Beale St at Harrison St,5157,29,3,1963,Male
13 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),14,Clay St at Battery St,5541,27,3,1989,Male
3 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),8,The Embarcadero at Vallejo St,2230,26,2,1984,Male
10 minutes,16,Steuart St at Market St,81,Berry St at 4th St,1842,59,2,1990,Male
